id,regionParent,regionChild,nx,ny,midLandCode,midTempCode,,,,,
82,경기도,양주시,61,131,1,13,"서울,인천,경기도",파주,,,
83,경기도,포천시,64,134,1,13,"서울,인천,경기도",파주,,,
84,경기도,여주시,71,121,1,12,"서울,인천,경기도",이천,,,
85,경기도,연천군,61,138,1,13,"서울,인천,경기도",파주,,,
86,경기도,가평군,69,133,1,81,"서울,인천,경기도",춘천,,,
87,경기도,양평군,69,125,1,81,"서울,인천,경기도",춘천,,,
88,충청북도,청주시상당구,69,106,2,21,충청북도,청주,,,청주
89,충청북도,청주시서원구,69,107,2,21,충청북도,청주,,,충주
90,충청북도,청주시흥덕구,67,106,2,21,충청북도,청주,,,영동
91,충청북도,청주시청원구,69,107,2,21,충청북도,청주,,,
92,충청북도,충주시,76,114,2,22,충청북도,충주,,,
93,충청북도,제천시,81,118,2,22,충청북도,충주,,,
94,충청북도,보은군,73,103,2,21,충청북도,청주,,,
95,충청북도,옥천군,71,99,2,23,충청북도,영동,,,
96,충청북도,영동군,74,97,2,23,충청북도,영동,,,
97,충청북도,증평군,71,110,2,21,충청북도,청주,,,
98,충청북도,진천군,68,111,2,21,충청북도,청주,,,
99,충청북도,괴산군,74,111,2,22,충청북도,충주,,,
100,충청북도,음성군,72,113,2,22,충청북도,충주,,,
101,충청북도,단양군,84,115,2,22,충청북도,충주,,,
102,충청남도,천안시동남구,63,110,3,31,"대전, 세종, 충청남도",대전,,,대전
103,충청남도,천안시서북구,63,112,3,32,"대전, 세종, 충청남도",세종,,,세종
104,충청남도,공주시,63,102,3,32,"대전, 세종, 충청남도",세종,,,홍성
105,충청남도,보령시,54,100,3,33,"대전, 세종, 충청남도",홍성,,,
106,충청남도,아산시,60,110,3,33,"대전, 세종, 충청남도",홍성,,,
107,충청남도,서산시,51,110,3,33,"대전, 세종, 충청남도",홍성,,,
108,충청남도,논산시,62,97,3,32,"대전, 세종, 충청남도",세종,,,
109,충청남도,계룡시,65,99,3,32,"대전, 세종, 충청남도",세종,,,
110,충청남도,당진시,54,112,3,33,"대전, 세종, 충청남도",홍성,,,
111,충청남도,금산군,69,95,3,32,"대전, 세종, 충청남도",세종,,,
112,충청남도,부여군,59,99,3,33,"대전, 세종, 충청남도",홍성,,,
113,충청남도,서천군,55,94,3,33,"대전, 세종, 충청남도",홍성,,,
114,충청남도,청양군,57,103,3,33,"대전, 세종, 충청남도",홍성,,,
115,충청남도,홍성군,55,106,3,33,"대전, 세종, 충청남도",홍성,,,
116,충청남도,예산군,58,107,3,33,"대전, 세종, 충청남도",홍성,,,
117,충청남도,태안군,48,109,3,33,"대전, 세종, 충청남도",홍성,,,
118,전라북도,"전주시완산구, 덕진구",63,89,4,41,전라북도,전주,,,전주
119,전라북도,군산시,56,92,4,41,전라북도,전주,,,
120,전라북도,익산시,60,91,4,41,전라북도,전주,,,
121,전라북도,정읍시,58,83,4,41,전라북도,전주,,,
122,전라북도,남원시,68,80,4,41,전라북도,전주,,,
123,전라북도,김제시,59,88,4,41,전라북도,전주,,,
124,전라북도,완주군,63,89,4,41,전라북도,전주,,,
125,전라북도,진안군,68,88,4,41,전라북도,전주,,,
126,전라북도,무주군,72,93,4,41,전라북도,전주,,,
127,전라북도,장수군,70,85,4,41,전라북도,전주,,,
128,전라북도,임실군,66,84,4,41,전라북도,전주,,,
129,전라북도,순창군,63,79,4,41,전라북도,전주,,,
130,전라북도,고창군,56,80,4,41,전라북도,전주,,,
131,전라북도,부안군,56,87,4,41,전라북도,전주,,,
132,전라남도,목포시,50,67,5,51,"광주,전라남도",목포,,,목포
133,전라남도,여수시,73,66,5,54,"광주, 전라남도",여수,,,순천
134,전라남도,순천시,70,70,5,52,"광주, 전라남도",순천,,,광양
135,전라남도,나주시,56,71,5,51,"광주, 전라남도",목포,,,여수
136,전라남도,광양시,73,70,5,53,"광주, 전라남도",광양,,,
137,전라남도,담양군,61,78,5,52,"광주, 전라남도",순천,,,
138,전라남도,곡성군,66,77,5,52,"광주, 전라남도",순천,,,
139,전라남도,구례군,69,75,5,53,"광주, 전라남도",광양,,,
140,전라남도,고흥군,66,62,5,54,"광주, 전라남도",여수,,,
141,전라남도,보성군,62,66,5,52,"광주, 전라남도",순천,,,
142,전라남도,화순군,60,72,5,52,"광주, 전라남도",순천,,,
143,전라남도,장흥군,59,64,5,52,"광주, 전라남도",순천,,,
144,전라남도,강진군,57,63,5,51,"광주, 전라남도",목포,,,
145,전라남도,해남군,54,61,5,51,"광주, 전라남도",목포,,,
146,전라남도,영암군,56,66,5,51,"광주, 전라남도",목포,,,
147,전라남도,무안군,52,71,5,51,"광주, 전라남도",목포,,,
148,전라남도,함평군,52,72,5,51,"광주, 전라남도",목포,,,
149,전라남도,영광군,52,77,5,51,"광주, 전라남도",목포,,,
150,전라남도,장성군,57,77,5,52,"광주, 전라남도",순천,,,
151,전라남도,완도군,57,56,5,51,"광주, 전라남도",목포,,,
152,전라남도,진도군,48,59,5,51,"광주, 전라남도",목포,,,
153,전라남도,신안군,50,66,5,51,"광주, 전라남도",목포,,,
154,경상북도,포항시남구,102,94,6,64,"대구, 경상북도",포항,,,대구
155,경상북도,포항시북구,102,95,6,64,"대구, 경상북도",포항,,,안동
156,경상북도,경주시,100,91,6,65,"대구, 경상북도",경주,,,울진
157,경상북도,김천시,80,96,6,61,"대구, 경상북도",대구,,,포항
158,경상북도,안동시,91,106,6,65,"대구, 경상북도",안동,,,경주
159,경상북도,구미시,84,96,6,61,"대구, 경상북도",대구,,,울릉도
160,경상북도,영주시,89,111,6,65,"대구, 경상북도",안동,,,
161,경상북도,영천시,95,93,6,61,"대구, 경상북도",대구,,,
162,경상북도,상주시,81,102,6,65,"대구, 경상북도",안동,,,
163,경상북도,문경시,81,106,6,65,"대구, 경상북도",안동,,,
164,경상북도,경산시,91,90,6,61,"대구, 경상북도",대구,,,
165,경상북도,군위군,88,99,6,61,"대구, 경상북도",대구,,,
166,경상북도,의성군,90,101,6,62,"대구, 경상북도",안동,,,
167,경상북도,청송군,96,103,6,64,"대구, 경상북도",포항,,,
168,경상북도,영양군,97,108,6,64,"대구, 경상북도",포항,,,
169,경상북도,영덕군,102,103,6,64,"대구, 경상북도",포항,,,
170,경상북도,청도군,91,86,6,61,"대구, 경상북도",대구,,,
171,경상북도,고령군,83,87,6,61,"대구, 경상북도",대구,,,
172,경상북도,성주군,83,91,6,61,"대구, 경상북도",대구,,,
173,경상북도,칠곡군,85,93,6,61,"대구, 경상북도",대구,,,
174,경상북도,예천군,86,107,6,65,"대구, 경상북도",안동,,,
175,경상북도,봉화군,90,113,6,62,"대구, 경상북도",안동,,,
176,경상북도,울진군,102,115,6,63,"대구, 경상북도",울진,,,
177,경상북도,울릉군,127,127,6,66,"대구, 경상북도",울릉도,,,
178,경상남도,창원시의창구,90,77,7,73,"부산, 울산, 경상남도",창원,,,부산
179,경상남도,창원시성산구,91,76,7,73,"부산, 울산, 경상남도",창원,,,울산
180,경상남도,"창원시마산합포구, 회원구",89,76,7,73,"부산, 울산, 경상남도",창원,,,창원
181,경상남도,창원시진해구,91,75,7,73,"부산, 울산, 경상남도",창원,,,
182,경상남도,진주시,81,75,7,74,"부산, 울산, 경상남도",진주,,,
183,경상남도,통영시,87,68,7,74,"부산, 울산, 경상남도",진주,,,
184,경상남도,사천시,80,71,7,74,"부산, 울산, 경상남도",진주,,,
185,경상남도,김해시,95,77,7,73,"부산, 울산, 경상남도",창원,,,
186,경상남도,밀양시,92,83,7,73,"부산, 울산, 경상남도",창원,,,
187,경상남도,거제시,90,69,7,73,"부산, 울산, 경상남도",창원,,,
188,경상남도,양산시,97,79,7,73,"부산, 울산, 경상남도",창원,,,
189,경상남도,의령군,83,78,7,74,"부산, 울산, 경상남도",진주,,,
190,경상남도,함안군,86,77,7,74,"부산, 울산, 경상남도",진주,,,
191,경상남도,창녕군,87,83,7,73,"부산, 울산, 경상남도",창원,,,
192,경상남도,고성군,85,71,7,74,"부산, 울산, 경상남도",진주,,,
193,경상남도,남해군,77,68,7,74,"부산, 울산, 경상남도",진주,,,
194,경상남도,하동군,74,73,7,74,"부산, 울산, 경상남도",진주,,,
195,경상남도,산청군,76,80,7,74,"부산, 울산, 경상남도",진주,,,
196,경상남도,함양군,74,82,7,74,"부산, 울산, 경상남도",진주,,,
197,경상남도,거창군,77,86,7,74,"부산, 울산, 경상남도",진주,,,
198,경상남도,합천군,81,84,7,74,"부산, 울산, 경상남도",진주,,,
199,제주특별자치도,제주시,53,38,10,101,제주도,제주,,,
200,제주특별자치도,서귀포시,52,33,10,102,제주도,서귀포,,,
201,강원특별자치도,춘천시,73,134,8,81,강원도영서,춘천,,,
202,강원특별자치도,원주시,76,122,8,82,강원도영서,원주,,,
203,강원특별자치도,강릉시,92,131,9,91,강원도영동,강릉,,,
204,강원특별자치도,동해시,97,127,9,91,강원도영동,강릉,,,
205,강원특별자치도,태백시,95,119,9,91,강원도영동,강릉,,,
206,강원특별자치도,속초시,87,141,9,91,강원도영동,강릉,,,
207,강원특별자치도,삼척시,98,125,9,91,강원도영동,원주,,,
208,강원특별자치도,홍천군,75,130,8,82,강원도영서,원주,,,
209,강원특별자치도,횡성군,77,125,8,82,강원도영서,원주,,,
210,강원특별자치도,영월군,86,119,8,82,강원도영서,원주,,,
211,강원특별자치도,평창군,84,123,8,82,강원도영서,원주,,,
212,강원특별자치도,정선군,89,123,8,82,강원도영서,원주,,,
213,강원특별자치도,철원군,65,139,8,81,강원도영서,춘천,,,
214,강원특별자치도,화천군,72,139,8,81,강원도영서,춘천,,,
215,강원특별자치도,양구군,77,139,8,81,강원도영서,춘천,,,
216,강원특별자치도,인제군,80,138,8,81,강원도영서,춘천,,,
217,강원특별자치도,양양군,88,138,9,91,강원도영동,강릉,,,
